time,temperature,humidity,wind_speed,soil_temperature
2026-05-29 00:00:00,28.6,91,7.0,30.1
2026-05-29 01:00:00,29.4,88,10.3,30.3
2026-05-29 02:00:00,30.4,83,12.2,31.1
2026-05-29 03:00:00,31.8,75,13.3,32.6
2026-05-29 04:00:00,32.7,71,13.5,34.3
2026-05-29 05:00:00,33.8,66,12.5,36.3
2026-05-29 06:00:00,35.0,61,11.7,37.1
2026-05-29 07:00:00,34.5,64,11.7,37.0
2026-05-29 08:00:00,28.5,90,6.4,37.5
2026-05-29 09:00:00,27.5,93,11.6,37.9
2026-05-29 10:00:00,27.6,94,12.2,37.3
2026-05-29 11:00:00,28.2,91,10.8,36.1
2026-05-29 12:00:00,28.8,89,4.2,34.7
2026-05-29 13:00:00,28.1,93,5.7,33.4
2026-05-29 14:00:00,27.5,95,8.1,32.2
2026-05-29 15:00:00,27.3,94,9.3,31.6
2026-05-29 16:00:00,27.0,94,7.0,31.3
2026-05-29 17:00:00,26.9,95,5.7,31.0
2026-05-29 18:00:00,26.7,97,4.5,30.6
2026-05-29 19:00:00,26.5,98,4.1,30.0
2026-05-29 20:00:00,26.9,97,5.1,29.6
2026-05-29 21:00:00,27.2,96,3.8,29.3
2026-05-29 22:00:00,27.5,96,2.0,28.9
2026-05-29 23:00:00,27.4,97,0.9,28.6
2026-05-30 00:00:00,27.5,96,3.1,28.3
2026-05-30 01:00:00,28.4,92,2.6,28.5
2026-05-30 02:00:00,29.5,85,4.1,29.4
2026-05-30 03:00:00,31.1,77,5.4,31.4
2026-05-30 04:00:00,32.3,71,6.3,33.6
2026-05-30 05:00:00,33.8,63,6.2,35.5
2026-05-30 06:00:00,34.7,60,6.9,37.6
2026-05-30 07:00:00,35.2,58,8.0,39.1
2026-05-30 08:00:00,35.1,58,9.3,40.0
2026-05-30 09:00:00,34.8,59,10.9,40.2
2026-05-30 10:00:00,34.2,61,12.1,38.6
2026-05-30 11:00:00,28.3,90,20.5,36.6
2026-05-30 12:00:00,26.6,97,12.4,34.9
2026-05-30 13:00:00,26.4,96,8.1,33.4
2026-05-30 14:00:00,26.4,96,1.5,32.4
2026-05-30 15:00:00,26.1,96,8.0,31.8
2026-05-30 16:00:00,25.9,96,2.8,31.3
2026-05-30 17:00:00,25.8,96,0.9,30.9
2026-05-30 18:00:00,25.6,98,2.7,30.6
2026-05-30 19:00:00,25.4,98,3.1,30.2
2026-05-30 20:00:00,25.3,99,1.3,29.9
2026-05-30 21:00:00,25.8,96,3.1,29.6
2026-05-30 22:00:00,26.0,96,4.5,29.3
2026-05-30 23:00:00,26.2,96,3.6,29.1
2026-05-31 00:00:00,26.4,96,3.7,29.0
2026-05-31 01:00:00,27.2,94,4.0,29.4
2026-05-31 02:00:00,29.1,86,3.6,30.7
2026-05-31 03:00:00,30.8,78,4.4,32.5
2026-05-31 04:00:00,31.8,74,5.5,34.5
2026-05-31 05:00:00,33.4,66,5.2,36.3
2026-05-31 06:00:00,34.5,61,5.2,37.8
2026-05-31 07:00:00,35.2,58,4.9,39.1
2026-05-31 08:00:00,34.8,61,8.0,38.6
2026-05-31 09:00:00,34.2,65,6.4,35.4
2026-05-31 10:00:00,31.9,72,11.7,35.2
2026-05-31 11:00:00,31.6,78,5.6,34.8
2026-05-31 12:00:00,30.2,87,1.5,33.6
2026-05-31 13:00:00,29.5,92,5.3,32.4
2026-05-31 14:00:00,29.2,90,9.0,31.4
2026-05-31 15:00:00,28.8,92,7.5,30.9
2026-05-31 16:00:00,28.5,93,5.3,30.4
2026-05-31 17:00:00,28.4,94,3.8,30.0
2026-05-31 18:00:00,28.1,95,3.6,29.7
2026-05-31 19:00:00,27.8,97,3.1,29.5
2026-05-31 20:00:00,27.6,97,2.8,29.3
2026-05-31 21:00:00,27.4,98,1.8,29.2
2026-05-31 22:00:00,27.3,99,1.3,29.1
2026-05-31 23:00:00,27.3,99,1.3,28.9
2026-06-01 00:00:00,27.4,99,2.1,28.7
2026-06-01 01:00:00,28.7,94,1.7,29.0
2026-06-01 02:00:00,30.4,85,3.3,30.0
2026-06-01 03:00:00,31.9,77,3.1,30.9
2026-06-01 04:00:00,33.2,70,2.7,32.2
2026-06-01 05:00:00,34.2,66,1.8,33.3
2026-06-01 06:00:00,34.5,64,1.4,34.0
2026-06-01 07:00:00,35.0,62,1.0,34.9
2026-06-01 08:00:00,27.3,92,22.3,35.4
2026-06-01 09:00:00,27.8,94,7.1,35.5
2026-06-01 10:00:00,29.9,85,2.5,35.0
2026-06-01 11:00:00,30.0,83,4.0,34.0
2026-06-01 12:00:00,29.8,84,5.6,32.8
2026-06-01 13:00:00,28.8,91,5.1,31.9
2026-06-01 14:00:00,28.3,93,5.9,31.0
2026-06-01 15:00:00,28.0,95,4.1,30.3
2026-06-01 16:00:00,27.8,95,5.3,29.8
2026-06-01 17:00:00,27.5,97,3.7,29.5
2026-06-01 18:00:00,27.2,98,6.1,29.2
2026-06-01 19:00:00,27.0,98,5.5,29.0
2026-06-01 20:00:00,26.9,99,4.3,28.8
2026-06-01 21:00:00,26.8,99,3.6,28.6
2026-06-01 22:00:00,26.5,99,4.0,28.3
2026-06-01 23:00:00,26.4,100,4.5,28.0
2026-06-02 00:00:00,26.6,98,4.9,28.1
2026-06-02 01:00:00,27.8,93,4.6,29.0
2026-06-02 02:00:00,29.4,86,4.3,30.4
2026-06-02 03:00:00,31.0,80,3.9,32.0
2026-06-02 04:00:00,32.3,74,3.5,33.8
2026-06-02 05:00:00,33.6,68,3.3,35.8
2026-06-02 06:00:00,34.6,63,3.1,37.3
2026-06-02 07:00:00,35.4,58,3.0,38.3
2026-06-02 08:00:00,36.0,53,2.8,38.9
2026-06-02 09:00:00,35.9,52,3.2,39.0
2026-06-02 10:00:00,35.0,57,5.5,38.4
2026-06-02 11:00:00,33.4,66,9.7,37.3
2026-06-02 12:00:00,32.0,76,12.7,36.1
2026-06-02 13:00:00,31.1,81,13.1,34.8
2026-06-02 14:00:00,30.3,84,12.1,33.3
2026-06-02 15:00:00,29.7,86,11.1,32.2
2026-06-02 16:00:00,29.3,89,10.4,31.5
2026-06-02 17:00:00,29.0,91,9.8,31.1
